id,asset_tag,serial_number,hostname,asset_type,brand,model,category,operating_system,purchase_date,warranty_expiry,lifecycle_status,ownership_type,site_id,room_id,assigned_to_person_id,notes,important,created_at,updated_at
1,AST-0001,SN7845123,LAT-7430-01,laptop,Dell,Latitude 7430,end_user_device,Windows 11,2023-02-15,2026-02-15,active,owned,1,101,5.0,Assigned to finance team,0,2026-03-13 08:00:00,2026-03-13 08:00:00
2,AST-0002,SN9934211,LAT-7430-02,laptop,Dell,Latitude 7430,end_user_device,Windows 11,2023-03-10,2026-03-10,active,owned,1,102,6.0,Touchpad driver issues reported,1,2026-03-13 08:01:00,2026-03-13 08:01:00
3,AST-0003,SN4567812,MBP-16-01,laptop,Apple,MacBook Pro 16,end_user_device,macOS Sonoma,2022-11-20,2025-11-20,active,owned,1,103,7.0,Used by design department,0,2026-03-13 08:02:00,2026-03-13 08:02:00
4,AST-0004,SN2245678,OPT-7090-01,desktop,Dell,OptiPlex 7090,end_user_device,Windows 10,2021-08-12,2024-08-12,active,owned,1,104,8.0,Reception workstation,0,2026-03-13 08:03:00,2026-03-13 08:03:00
5,AST-0005,SN8877612,HP-ELITE-01,laptop,HP,EliteBook 840,end_user_device,Windows 11,2023-05-02,2026-05-02,active,leased,1,105,9.0,Sales team laptop,0,2026-03-13 08:04:00,2026-03-13 08:04:00
6,AST-0006,SN5512234,MON-DELL-01,monitor,Dell,U2723QE,peripheral,N/A,2023-01-12,2026-01-12,active,owned,1,101,5.0,4K monitor assigned with laptop,0,2026-03-13 08:05:00,2026-03-13 08:05:00
7,AST-0007,SN2234871,DOCK-DELL-01,dock,Dell,WD19S,peripheral,N/A,2023-01-15,2026-01-15,active,owned,1,101,5.0,USB-C docking station,0,2026-03-13 08:06:00,2026-03-13 08:06:00
8,AST-0008,SN9987123,PRN-HP-01,printer,HP,Color LaserJet Pro,infrastructure,N/A,2022-09-10,2025-09-10,active,owned,1,110,,Shared office printer,0,2026-03-13 08:07:00,2026-03-13 08:07:00
9,AST-0009,SN6671238,SW-CISCO-01,switch,Cisco,Catalyst 9300,networking,IOS-XE,2021-12-01,2026-12-01,active,owned,1,120,,Core network switch,1,2026-03-13 08:08:00,2026-03-13 08:08:00
10,AST-0010,SN3321987,AP-UBNT-01,access_point,Ubiquiti,U6-LR,networking,UniFi OS,2022-04-17,2025-04-17,active,owned,1,120,,WiFi coverage for office floor,0,2026-03-13 08:09:00,2026-03-13 08:09:00
